activity;case;start;end;type;user
pay expenses;1;16.01.2017 13:29:00;16.01.2017 13:40:00;Accounting;FI12
pay expenses;5;16.01.2017 08:38:00;16.01.2017 08:48:00;Accounting;JH2172
calculate payments;6;04.01.2017 06:59:00;16.01.2017 09:40:00;Accounting;WE5108
pay expenses;6;06.02.2017 09:27:00;06.02.2017 09:36:00;Accounting;WE5108
send original documents to archive;7;01.01.2017 03:46:00;09.01.2017 06:23:00;Employee;UL2786
calculate payments;7;04.01.2017 05:46:00;12.01.2017 08:51:00;Accounting;JK6642
pay expenses;7;27.01.2017 12:04:00;27.01.2017 12:11:00;Accounting;JK6642
pay expenses;8;15.01.2017 02:03:00;19.01.2017 08:55:00;Accounting;JK6642
pay expenses;10;01.01.2017 04:10:00;05.01.2017 09:43:00;Accounting;VA7847
send original documents to archive;13;06.01.2017 03:48:00;09.01.2017 06:40:00;Employee;JB8510
calculate payments;13;28.01.2017 05:48:00;31.01.2017 08:34:00;Accounting;JK6642
pay expenses;13;09.02.2017 08:10:00;09.02.2017 08:15:00;Accounting;JK6642
send original documents to archive;16;02.01.2017 03:58:00;06.01.2017 06:21:00;Employee;US369
calculate payments;16;19.01.2017 07:02:00;23.01.2017 09:45:00;Accounting;FI12
pay expenses;16;30.01.2017 10:28:00;30.01.2017 10:35:00;Accounting;FI12
calculate payments;19;10.01.2017 05:48:00;02.02.2017 08:12:00;Accounting;GR7476
pay expenses;19;13.02.2017 07:59:00;13.02.2017 08:06:00;Accounting;GR7476
calculate payments;20;14.01.2017 05:54:00;26.01.2017 08:53:00;Accounting;JK6642
pay expenses;20;02.02.2017 08:06:00;02.02.2017 08:10:00;Accounting;JK6642
file travel expense report;21;02.01.2017 06:26:00;02.01.2017 06:35:00;Employee;VP4411
confirm travel expense report;21;02.01.2017 06:35:00;02.01.2017 06:38:00;Employee;VP4411
decide on travel expense approval;21;02.01.2017 13:03:00;02.01.2017 13:04:00;Manager;LV1269
send request for travel expense correction;21;02.01.2017 13:04:00;02.01.2017 13:05:00;;
correct travel expense report;21;04.01.2017 12:07:00;04.01.2017 12:41:00;Employee;VP4411
decide on travel expense approval;21;04.01.2017 13:01:00;04.01.2017 13:04:00;Manager;LV1269
send original documents to archive;21;09.01.2017 05:59:00;09.01.2017 06:58:00;Employee;VP4411
calculate payments;21;19.01.2017 15:38:00;19.01.2017 16:24:00;Accounting;FI12
pay expenses;21;26.01.2017 07:59:00;26.01.2017 08:08:00;Accounting;FI12
