activity;case;start;end
file travel request;1447;01.01.2017 15:00;02.01.2017 06:14
check if travel request needs preliminary price inquiry;1447;02.01.2017 06:14;02.01.2017 06:14
decide on approval requirements;1447;02.01.2017 06:14;02.01.2017 06:15
check if booking is necessary;1447;04.01.2017 08:03;04.01.2017 08:06
prepare booking proposal;1447;06.01.2017 09:34;06.01.2017 10:36
send booking proposal to employee;1447;10.01.2017 12:02;10.01.2017 12:06
check booking proposal;1447;10.01.2017 17:10;10.01.2017 17:21
book travel;1447;13.01.2017 12:13;13.01.2017 12:46
check if expense documents exist;1447;22.02.2017 05:59;22.02.2017 06:32
upload travel expense documents;1447;22.02.2017 06:32;22.02.2017 06:41
file travel expense report;1447;22.02.2017 06:41;22.02.2017 06:52
confirm travel expense report;1447;22.02.2017 06:52;22.02.2017 06:55
decide on travel expense approval;1447;22.02.2017 13:01;22.02.2017 13:03
send original documents to archive;1447;06.03.2017 05:59;06.03.2017 06:21
calculate payments;1447;21.03.2017 12:04;21.03.2017 12:42
pay expenses;1447;29.03.2017 12:24;29.03.2017 13:32
file travel request;1448;01.01.2017 16:30;02.01.2017 06:10
check if travel request needs preliminary price inquiry;1448;02.01.2017 06:10;02.01.2017 06:11
decide on approval requirements;1448;02.01.2017 06:11;02.01.2017 06:12
check if booking is necessary;1448;04.01.2017 07:59;04.01.2017 08:02
prepare booking proposal;1448;06.01.2017 09:03;06.01.2017 10:31
send booking proposal to employee;1448;10.01.2017 12:01;10.01.2017 12:02
check booking proposal;1448;10.01.2017 13:15;10.01.2017 13:20
check if travel request is still needed and up to date;1448;12.01.2017 05:59;12.01.2017 06:24
request update of the booking proposal;1448;12.01.2017 06:24;12.01.2017 06:25
prepare booking proposal;1448;17.01.2017 08:07;17.01.2017 09:54
send booking proposal to employee;1448;19.01.2017 13:08;19.01.2017 13:13
check booking proposal;1448;19.01.2017 16:28;19.01.2017 16:30
book travel;1448;25.01.2017 08:09;25.01.2017 10:35
check if expense documents exist;1448;13.02.2017 05:59;13.02.2017 06:10
upload travel expense documents;1448;13.02.2017 06:10;13.02.2017 06:15
file travel expense report;1448;13.02.2017 06:15;13.02.2017 06:24
confirm travel expense report;1448;13.02.2017 06:24;13.02.2017 06:25
decide on travel expense approval;1448;13.02.2017 13:02;13.02.2017 13:04
send request for travel expense correction;1448;13.02.2017 13:04;13.02.2017 13:05
correct travel expense report;1448;23.02.2017 13:20;23.02.2017 13:38
decide on travel expense approval;1448;24.02.2017 12:59;24.02.2017 13:02
send request for travel expense correction;1448;24.02.2017 13:02;24.02.2017 13:03
correct travel expense report;1448;27.02.2017 05:59;27.02.2017 06:48
decide on travel expense approval;1448;27.02.2017 13:06;27.02.2017 13:08
send original documents to archive;1448;08.03.2017 19:29;08.03.2017 20:06
calculate payments;1448;20.03.2017 07:59;20.03.2017 08:15
pay expenses;1448;28.03.2017 12:32;28.03.2017 13:42
file travel request;1449;01.01.2017 18:00;02.01.2017 06:09
check if travel request needs preliminary price inquiry;1449;02.01.2017 06:09;02.01.2017 06:10
prepare booking proposal;1449;04.01.2017 07:59;04.01.2017 09:37
send booking proposal to employee;1449;06.01.2017 10:47;06.01.2017 10:49
check booking proposal;1449;06.01.2017 10:53;06.01.2017 11:00
transform price inquiry to travel request;1449;06.01.2017 11:00;06.01.2017 11:00
decide on approval requirements;1449;06.01.2017 11:00;06.01.2017 11:02
check if booking is necessary;1449;10.01.2017 12:06;10.01.2017 12:09
check if expense documents exist;1449;23.02.2017 19:44;23.02.2017 20:48
file travel expense report;1449;23.02.2017 20:48;23.02.2017 21:05
confirm travel expense report;1449;23.02.2017 21:05;23.02.2017 21:07
decide on travel expense approval;1449;24.02.2017 12:59;24.02.2017 13:02
send request for travel expense correction;1449;24.02.2017 13:02;24.02.2017 13:02
correct travel expense report;1449;06.03.2017 05:59;06.03.2017 06:45
decide on travel expense approval;1449;06.03.2017 13:04;06.03.2017 13:05
send request for travel expense correction;1449;06.03.2017 13:05;06.03.2017 13:06
correct travel expense report;1449;13.03.2017 05:59;13.03.2017 06:08
decide on travel expense approval;1449;13.03.2017 12:59;13.03.2017 13:00
send original documents to archive;1449;23.03.2017 12:26;23.03.2017 13:02
calculate payments;1449;05.04.2017 10:40;05.04.2017 12:10
pay expenses;1449;17.04.2017 09:38;17.04.2017 09:43
file travel request;1450;01.01.2017 19:30;02.01.2017 06:10
check if travel request needs preliminary price inquiry;1450;02.01.2017 06:10;02.01.2017 06:11
decide on approval requirements;1450;02.01.2017 06:11;02.01.2017 06:12
check if booking is necessary;1450;04.01.2017 07:59;04.01.2017 08:01
prepare booking proposal;1450;06.01.2017 08:48;06.01.2017 09:34
send booking proposal to employee;1450;10.01.2017 11:48;10.01.2017 11:48
check booking proposal;1450;10.01.2017 15:25;10.01.2017 15:27
check if travel request is still needed and up to date;1450;16.01.2017 05:59;16.01.2017 06:29
request update of the booking proposal;1450;16.01.2017 06:29;16.01.2017 06:29
